"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
118.400000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON","MCI Approach A","MCI Approach A",CSQ,,AM,BM,Aircraft
118.900000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON","MCI Approach B","MCI Approach B",CSQ,,AM,BM,Aircraft
120.750000,0.00000,,"Kansas City International Airport (MCI) Air Traffic Control","Automatic Terminal Information Service (ATIS)","MCI ATIS",CSQ,,AM,B,Aircraft
120.950000,0.00000,WBJ2,"Kansas City International Airport (MCI) Kansas City TRACON","MCI Approach (Primary)","MCI App-Primary",CSQ,,AM,BM,Aircraft
121.800000,0.00000,KH9357,"Kansas City International Airport (MCI) Air Traffic Control",Ground,"MCI Ground",CSQ,,AM,BM,Aircraft
121.800000,0.00000,KT5426,"Kansas City International Airport (MCI) Airlines","MCI Ground","MCI Ground",CSQ,,FM,M,Aircraft
123.950000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON","MCI Departure-East","MCI Dep-E",CSQ,,AM,BM,Aircraft
124.700000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON","MCI Departure-West","MCI Dep-W",CSQ,,AM,BM,Aircraft
125.750000,0.00000,,"Kansas City International Airport (MCI) Air Traffic Control","Tower Secondary","MCI Tower 2",CSQ,,AM,BM,Aircraft
128.200000,0.00000,KH9357,"Kansas City International Airport (MCI) Air Traffic Control",Tower,"MCI Tower",CSQ,,AM,BM,Aircraft
128.900000,0.00000,KPL3,"Kansas City International Airport (MCI) Aviation - Airlines","American: Maintenance","MCI Am Maint",CSQ,,AM,BM,Aircraft
128.970000,0.00000,,"Kansas City International Airport (MCI) Air Traffic Control","Ramp Control North","MCI Ramp Cntrl N",CSQ,,AM,BM,Aircraft
129.450000,0.00000,KAB2,"Kansas City International Airport (MCI) Aviation - Airlines","ARINC San Francisco Radio","ARINC SF Radio",CSQ,,AM,BM,Aircraft
130.150000,0.00000,WXS4,"Kansas City International Airport (MCI) Aviation - Airlines",United,"MCI United",CSQ,,AM,BM,Aircraft
130.175000,0.00000,KCH5,"Kansas City International Airport (MCI) Aviation - Airlines","American Airlines: Dispatch/Operations","MCI American",CSQ,,AM,BM,Aircraft
130.820000,0.00000,,"Kansas City International Airport (MCI) Air Traffic Control","Ramp Control South","MCI Ramp Cntrl S",CSQ,,AM,BM,Aircraft
130.850000,0.00000,WZO8,"Kansas City International Airport (MCI) Aviation - Airlines","US Airways","MCI US Airways",CSQ,,AM,BM,Aircraft
131.300000,0.00000,KAB2,"Kansas City International Airport (MCI) Aviation - ARINC En Route Service","""San Francisco Radio""","SFO EnrRadio",CSQ,,AM,BM,Aircraft
131.450000,0.00000,KWH9,"Kansas City International Airport (MCI) Aviation - Airlines",Delta,"MCI Delta",CSQ,,AM,BM,Aircraft
131.570000,0.00000,,"Kansas City International Airport (MCI) Aviation - Airlines","Frontier Airlines [F9 OPS]","MCI Frontier F9",CSQ,,AM,BM,Aircraft
131.700000,0.00000,KSR5,"Kansas City International Airport (MCI) Aviation - Airlines",Southwest,"MCI Southwest",CSQ,,AM,BM,Aircraft
135.700000,0.00000,,"Kansas City International Airport (MCI) Air Traffic Control","Clearance Delivery","MCI Clrnc Del",CSQ,,AM,BM,Aircraft
145.430000,144.83000,,SKYWARN,"Skywarn-Secondary (Clay Co)",SkywarnClayS,CSQ,CSQ,FM,RM,Ham
