"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
29.620000,0.00000,K9HGX/R,Miscellaneous,Macon,"Future (Not in service as of 5/12) (- input)","K9HGX 29.62","103.5 PL","103.5 PL",FM,RM,Ham
29.680000,0.00000,AA9ME,Miscellaneous,"St. Clair",Belleville,"AA9ME 29.68",CSQ,CSQ,FM,RM,Ham
30.620000,0.00000,WNZR751,"Businesses Miscellaneous",Statewide,"Kreher Farms (Smtihton)","Kreher Farm","114.8 PL",,FMN,BM,Business
30.700000,0.00000,WPEZ792,"Businesses Agricultural",Statewide,"Countrymark Cooperative (McLeansboro) [Expired 6/24]","Countrymark Coop","118.8 PL",,FM,B,Business
30.860000,0.00000,KLO335,"Des Plaines Valley Mosquito Abatement District",Cook,Operations,"DPVMAD Ops1","97.4 PL",,FM,BM,"Public Works"
32.050000,0.00000,,"Abraham Lincoln Capital Airport (SPI) Ground",Statewide,Operations,"ANGIL 32.05",,,FMN,BM,Military
32.300000,0.00000,,"Airports Air National Guard - Air",Statewide,"National Guard Ops","182nd ANG 32.3",CSQ,,AM,M,Military
32.325000,0.00000,,"IL National Guard Operations",Statewide,"Range Control - Secondary","MTC Range 2",CSQ,,FM,BM,Military
33.060000,0.00000,KNGG604,"Menard County",Menard,"Highway Department","Mnrd HD LB",,,FMN,BM,"Public Works"
34.200000,0.00000,,"Abraham Lincoln Capital Airport (SPI) Ground",Statewide,Operations,"ANGIL 34.2",,,FMN,BM,Military
34.830000,0.00000,,"U.S. Fish and Wildlife Crab Orchard Wildlife Refuge",Williamson,Operations,"USFW Refuge",,,FM,BM,Federal
35.120000,0.00000,WPKL665,"County Government","Jo Daviess","Jo Daviess County Transit [Expired 4/22]","JoDav Transit","047 DPL",,FM,BM,Transportation
35.640000,0.00000,WQDE455,"Hospitals and Healthcare Skokie Hospital (Endeavor Health)",Statewide,Paging,"RNSMC PG-1",,,Telm,B,Data
