"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
29.670000,29.57000,KD0WPK,Repeaters,Polk,"Des Moines - Rx @ 42 & Ingersoll, Tx @ Sherman Hills","DM 10M Ham",,"103.5 PL",FM,RM,Ham
36.700000,0.00000,,"Waterloo Regional Airport (ALO) Aviation - Military",Statewide,"Air National Guard Operations","ANG OPS",CSQ,,FM,BM,Aircraft
37.100000,0.00000,WPGB654,"Emmet County",Emmet,"Civil Defense / Warning Siren Control","Emmet CivDef",,,FM,BM,"Emergency Ops"
37.100000,0.00000,WQP802,Keokuk,Lee,"Services / Snow Plows","Keokuk City","107.2 PL",,FM,BM,"Public Works"
37.100000,0.00000,WGT734,"Adams County",Adams,"Sheriff - Old Band","Adams Co LB",,,FM,BM,"Law Tac"
37.100000,0.00000,WPXL954,"Strawberry Point",Clayton,"City Crews - Truck to Truck","SP CityCrews",,,FM,,"Public Works"
37.140000,0.00000,WGT734,"Adams County",Adams,"Sheriff - Old Band","Adams Co LB",,,FM,BM,"Law Tac"
43.180000,0.00000,KAJ375,"Businesses Manatts - Brooklyn",Statewide,"Manatts Construction - Brooklyn",Manatts,"662 DPL",,FM,BM,Business
43.180000,0.00000,,"Businesses Miscellaneous",Statewide,Manatts,Manatts,"662 DPL",,FMN,BM,Business
46.000000,0.00000,KUS445,"New Sharon",Mahaska,Medical,NewSharonMed,,,FM,BM,"EMS Dispatch"
46.040000,0.00000,WNJX615,"Veterinary S & S Veterinary Clinic",Statewide,Dispatch,"S&S Vet",,,FM,BM,Business
47.540000,0.00000,KAJ676,"Businesses Mahaska Vet Clinic",Statewide,Dispatch,"Mahaska Vet",,,FM,BM,"Public Works"
47.560000,0.00000,WPAL301,"Businesses Businesses",Statewide,"Ideal Ready Mix - Osceola","Ideal Ready Mix","136.5 PL",,FM,BM,Business
47.580000,0.00000,KAF629,"Adams County",Adams,"Veterinary Service","County Vet",,,FM,BM,Business
47.660000,0.00000,WQN818,"Veterinary Corydon Veterinary Clinic",Statewide,Dispatch,"Vet Dispatch",,,FM,BM,Business
53.030000,51.33000,NF0T,Repeaters,Marshall,Gilman,"Gilman Ham","151.4 PL","151.4 PL",FM,RM,Ham
53.250000,51.55000,N0INX,Repeaters,Polk,Grimes,"Grimes 6M","110.9 PL","110.9 PL",FM,RM,Ham
53.390000,51.69000,K0BVC,Skywarn/RACES,Harrison,"Mondamin Repeater","Mondamin Ham",,"136.5 PL",FM,RM,Ham
118.025000,0.00000,,"Southeast Iowa Regional Airport (BRL) Aeronautical Radio",Statewide,"WX ASOS","WX ASOS",CSQ,,AM,B,Aircraft
118.300000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,Tower,Tower,CSQ,,AM,BM,Aircraft
118.350000,0.00000,,"Davenport Municipal Airport (DVN) Air Traffic Control",Statewide,"Clearance Delivery",ClearanceDel,CSQ,,AM,,Aircraft
118.600000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,Departure,Departure,CSQ,,AM,BM,Aircraft
118.700000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Common Traffic Advisory / CID Tower",CID-CTAF/TWR,CSQ,,AM,BM,Aircraft
118.750000,0.00000,,"Davenport Municipal Airport (DVN) Air Traffic Control",Statewide,"Chicago ARTCC (Approach / Delivery when QC is closed)","CHI ARTCC",CSQ,,AM,,Aircraft
118.900000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,"Approach/Departure - Waterloo",ALO-App/Dep,CSQ,,AM,BM,Aircraft
118.900000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,"Basic Radar Service","ALO - Radar",CSQ,,AM,BM,Aircraft
118.900000,0.00000,,"Waverly Municipal Airport (C25) Air Traffic Control",Statewide,"Waterloo Approach / Departure","App / Dep",CSQ,,AM,BM,Aircraft
119.050000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Iowa City Airport Clearnce Delivery","CID-IOW RCO",CSQ,,AM,BM,Aircraft
119.175000,0.00000,WWZ9,"Business Ankeny Airport",Statewide,"Automated Information","Ankny Airprt",CSQ,,AM,F,Aircraft
119.500000,0.00000,,"Dubuque Regional Airport (DBQ) Air Traffic Control",Statewide,"Dubuque Common traffic Advisory Frequency","DBQ - CTAF",CSQ,,AM,BM,Aircraft
119.500000,0.00000,,"Dubuque Regional Airport (DBQ) Air Traffic Control",Statewide,"Dubuque Regional Airport Tower","DBQ - Tower",CSQ,,AM,BM,Aircraft
119.550000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,ASOS/ATIS,ASOS/ATIS,CSQ,,AM,BM,Aircraft
119.700000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Cedar Rapids Approach / Departure",CID-APP/DEP,CSQ,,AM,BM,Aircraft
120.650000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,"Automatic Terminal Information Service (ATIS)",ALO-ATIS,CSQ,,AM,BM,Aircraft
120.825000,0.00000,KKY4,"Independence Municipal Airport Blank",Statewide,"Automatic weather information","IIB ASOS",,,AM,B,Aircraft
120.900000,0.00000,,"Marshalltown Municipal Airport (MIW) Blank",Statewide,"ALO Approach/Departure/Clearance Delivery RCO","ALO APP/DEP/CD",CSQ,,AM,BM,Aircraft
121.600000,0.00000,,"The Eastern Iowa Airport (CID) Air Traffic Control",Statewide,"Ground Control",CID-Ground,CSQ,,AM,BM,Aircraft
121.800000,0.00000,,"Dubuque Regional Airport (DBQ) Air Traffic Control",Statewide,"Dubuque Regional Airport Ground Control","DBQ - Ground",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Des Moines International Airport (DSM) Air Traffic Control",Statewide,"Ground Control","Ground Cntrl",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Waterloo Regional Airport (ALO) Air Traffic Control",Statewide,Ground,"ALO - Ground",CSQ,,AM,BM,Aircraft
122.700000,0.00000,,"Ames Municipal Airport",Story,"Ames Municipal Airport - Unicom","AMA UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Council Bluffs Municipal Airport (CBF) Air Traffic Control",Statewide,"Common Traffic Advisory Frequency (CTAF)",CTAF,CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Waverly Municipal Airport (C25) Air Traffic Control",Statewide,"Waverly Municipal Airport UNICOM / CTAF","C25 - UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Marshalltown Municipal Airport (MIW) Blank",Statewide,"Common Traffic Advisory Frequency","MIW CTAF/UNICOM",CSQ,,AM,M,Aircraft
122.900000,0.00000,,"Airports Operations",Statewide,Unicom,AnkenyUnicom,CSQ,,AM,M,Aircraft
122.900000,0.00000,,"Corning Municipal Airport (CRZ) Air Traffic Control",Statewide,Tower,Tower,CSQ,,AM,BM,Aircraft
