Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
1,001,"Security","T","Stadium Security","Security","All"
2,002,"Auto Alerts","T","Automated Alerts","Business","All"
3,003,"Gates","T","Gates","Business","All"
4,004,"Maintenance","T","Maintenance","Business","All"
5,005,"Wheelchairs","T","Wheelchair Ops","Business","All"
6,006,"Crowd Control","T","Crowd Control","Business","All"
7,007,"Team Services","T","Team Services","Business","All"
8,008,"Parking Lots","T","Parking Lots","Business","All"
9,009,"Operations 9","T","Operations 9","Business","All"
11,00b,"Operations 11","T","Operations 11","Business","All"
13,00d,"Courtesy Carts","T","Courtesy Carts","Business","All"
14,00e,"Guest Services","T","Guest Services","Business","All"
15,00f,"Audio Engineer","T","Audio Engineer","Business","All"
81,051,"VIP GBox 81","T","VIP Guest Boxes 81","Business","All"
82,052,"VIP GBox 82","T","VIP Guest Boxes 82","Business","All"
83,053,"VIP GBox 83","T","VIP Guest Boxes: Food Service","Business","All"
255,0ff,"Announcements","T","Announcements","Business","All"
